"SECTOR_OID","SECTOR","BUSINSS_ACT_ID","ACTIVITY_TITLE"
"1000300","Tour operator services","1002","Use CCTV systems"
"1000316","Consumer credit broking","1091","Distribute free printed material"
"1000316","Consumer credit broking","1002","Use CCTV systems"
"1000318","Non-life insurance broking","1002","Use CCTV systems"
"1000320","Asset management","1096","Work as an Actuary"
"1000323","Payroll provision","1091","Distribute free printed material"
"1000328","Patent and copyright agent services","1001","Process personal information about any individuals including customers, employees etc"
"1000336","Trade and export consultancy","1115","Export radioactive sources"
"1000336","Trade and export consultancy","188","Make copies of extracts from books, magazines or journals for business use"
"1000336","Trade and export consultancy","1001","Process personal information about any individuals including customers, employees etc"
"1000338","Estate agency services","324","Let a house for multiple occupation"
"1000338","Estate agency services","266","Make copies of newspaper cuttings for business use"
"1000338","Estate agency services","1024","Operate as an estate agent"
"1000338","Estate agency services","1001","Process personal information about any individuals including customers, employees etc"
"1000339","Chartered surveying","1001","Process personal information about any individuals including customers, employees etc"
"1000340","Property management services","258","Work as a window cleaner"
"1000343","Property development","1057","Construct, maintain or use cooling towers or evaporative condensers"
"1000347","Public relations services","1002","Use CCTV systems"
"1000348","Direct marketing services","1091","Distribute free printed material"
"1000350","Marketing consultancy","266","Make copies of newspaper cuttings for business use"
"1000352","Recruitment agencies and personnel supply","1103","Operate as a gangmaster"
"1000352","Recruitment agencies and personnel supply","1072","Use the Olympic Brand"
"1000352","Recruitment agencies and personnel supply","295","Offer care services"
"1000352","Recruitment agencies and personnel supply","266","Make copies of newspaper cuttings for business use"
"1000353","Secretarial and PA services","188","Make copies of extracts from books, magazines or journals for business use"
"1000355","Vending machine supply and servicing","1004","Park vehicles in a controlled parking zone (if your premises is located in a controlled parking zone)"
"1000357","Security services","228","Erect scaffolding or hoardings"
"1000358","Auctioneering services","1001","Process personal information about any individuals including customers, employees etc"
"1000359","Event organisation and management","266","Make copies of newspaper cuttings for business use"
"1000359","Event organisation and management","94","Organise public sporting events"
"1000359","Event organisation and management","1058","Hold an ad hoc event"
"1000360","Scientific research and development","237","Undertake activities that cause solvent emissions - eg using paint, thinners, cleaning fluids etc"
"1000360","Scientific research and development","188","Make copies of extracts from books, magazines or journals for business use"
"1000362","Waste collection","215","Accumulate or dispose of radioactive wastes"
"1000363","Waste treatment and disposal","194","Operate a large industrial site"
"1000363","Waste treatment and disposal","35","Process, store or dispose of dangerous or harmful substances"
"1000363","Waste treatment and disposal","1002","Use CCTV systems"
"1000364","Non-metal waste and scrap recycling","35","Process, store or dispose of dangerous or harmful substances"
"1000365","Metal waste and scrap recycling","1054","Operate a public weighbridge"
"1000365","Metal waste and scrap recycling","1028","Posess or use equipment which may contain Polychlorinated Biphenyls (PCBs)"
"1000366","Environmental consultancy","220","Keep non-native animals, fish, or plants, or release them into the wild."
"1000370","Computer installation, maintenance and support services","1072","Use the Olympic Brand"
"1000370","Computer installation, maintenance and support services","188","Make copies of extracts from books, magazines or journals for business use"
"1000380","Telephone service provision","1002","Use CCTV systems"
"1000382","Mobile telecommunications service provision","99","Use music for broadcast or download, including TV or Radio programs, online, in toys, ringtones, computer games, etc. "
"1000383","Telecommunications resellers","81","Lease or hire out goods"
"1000383","Telecommunications resellers","1003","Offer credit to your customers"
"1000393","Film production","1137","Produce films, radio or television programmes"
"1000393","Film production","252","Provide commercial television services"
"1000393","Film production","46","Store and sell fireworks"
"1000394","Film distribution","70","Operate a goods vehicle"
"1000395","Film projection","1081","Store, process, use or dispose of celluloid film"
"1000395","Film projection","1002","Use CCTV systems"
"1000399","Music publishing","1172","Make copies of a musical work onto any recorded media, eg CDs, DVDs or karaoke products"
"1000399","Music publishing","188","Make copies of extracts from books, magazines or journals for business use"
"1000399","Music publishing","1001","Process personal information about any individuals including customers, employees etc"
"1000401","Television broadcasting","394","Use a piece of artwork in a book, magazine, website, advertisement, or on a greeting card or textile"
"1000401","Television broadcasting","1002","Use CCTV systems"
"1000402","Radio broadcasting","1137","Produce films, radio or television programmes"
"1000402","Radio broadcasting","307","Employ child actors, performers or models"
"1000402","Radio broadcasting","266","Make copies of newspaper cuttings for business use"
"1000406","Magazine publishing","1172","Make copies of a musical work onto any recorded media, eg CDs, DVDs or karaoke products"
"1000406","Magazine publishing","1001","Process personal information about any individuals including customers, employees etc"
"1000407","Other publishing","394","Use a piece of artwork in a book, magazine, website, advertisement, or on a greeting card or textile"
"1000407","Other publishing","70","Operate a goods vehicle"
"1000407","Other publishing","1001","Process personal information about any individuals including customers, employees etc"
"1000410","Hotels","1072","Use the Olympic Brand"
"1000410","Hotels","8","Supply or operate gaming machines"
"1000411","Hostels","241","Put an advertising board on the pavement or verge"
"1000411","Hostels","209","Use a venue for public entertainment - including dancing, live music, karaoke etc"
"1000413","Self-catering accommodation","1001","Process personal information about any individuals including customers, employees etc"
"1000416","Public houses","240","Put tables or chairs on the pavement"
"1000418","Licensed restaurants","241","Put an advertising board on the pavement or verge"
"1000418","Licensed restaurants","31","Exhibit films, videos or DVDs"
"1000419","Unlicensed restaurants","1149","Keep or release live fish"
"1000419","Unlicensed restaurants","97","Provide public refreshment or entertainment between 10pm and 5am "
"1000419","Unlicensed restaurants","1002","Use CCTV systems"
"1000420","Take-away food shops","1002","Use CCTV systems"
"1000003","Arable farming","1134","Breed or develop new plants"
"1000003","Arable farming","53","Prepare ANFO mixtures for blasting"
"1000003","Arable farming","40","Discharge trade effluent"
"1000004","Arable farming support services","1103","Operate as a gangmaster"
"1000004","Arable farming support services","70","Operate a goods vehicle"
"1000004","Arable farming support services","1061","Process, store or dispose of dangerous or harmful substances"
"1000004","Arable farming support services","1026","Burn heather and grass"
"1000005","Cattle farming","1140","Dispense petrol"
"1000005","Cattle farming","281","Use an on-farm incinerator"
"1000005","Cattle farming","40","Discharge trade effluent"
"1000006","Sheep and goat farming","1140","Dispense petrol"
"1000006","Sheep and goat farming","1126","Operate a market for livestock"
"1000006","Sheep and goat farming","1118","Goat herding"
"1000007","Pig farming","1140","Dispense petrol"
"1000007","Pig farming","398","Kill or take wild birds or animals - e.g. for scientific or conservation reasons, etc."
"1000007","Pig farming","281","Use an on-farm incinerator"
"1000007","Pig farming","251","Fell trees"
"1000007","Pig farming","41","Pollute controlled waters with substances including waste sheep dip, pesticides, chemicals etc"
"1000007","Pig farming","40","Discharge trade effluent"
"1000007","Pig farming","14","Move or transport animals and livestock"
"1000008","Poultry farming","251","Fell trees"
"1000008","Poultry farming","40","Discharge trade effluent"
"1000008","Poultry farming","1028","Posess or use equipment which may contain Polychlorinated Biphenyls (PCBs)"
"1000009","Beekeeping","1061","Process, store or dispose of dangerous or harmful substances"
"1000010","Other animal farming","1116","Undertake activities in a bird flu affected zone"
"1000010","Other animal farming","340","Carry out landspreading of animal by-products for agricultural benefit"
"1000010","Other animal farming","1002","Use CCTV systems"
"1000011","Animal farming support services","70","Operate a goods vehicle"
"1000013","Forestry","1026","Burn heather and grass"
"1000014","Logging","1105","Collect, sell or distribute forestry material"
"1000016","Fishing","1153","Remove material from a river bed"
"1000016","Fishing","1103","Operate as a gangmaster"
"1000016","Fishing","1101","Fish in fresh water"
"1000016","Fishing","32","Fish for profit in ocean waters"
"1000017","Fish farming","195","Discharge rain water, cooling water or treated liquid effluent directly to controlled waters"
"1000017","Fish farming","126","Impound water (by using a dam or a weir etc)"
"1000017","Fish farming","56","Operate a fish farm"
"1000021","Mining and quarrying","1142","Work affecting a river or watercourse"
"1000021","Mining and quarrying","195","Discharge rain water, cooling water or treated liquid effluent directly to controlled waters"
"1000021","Mining and quarrying","126","Impound water (by using a dam or a weir etc)"
"1000021","Mining and quarrying","5","Remove water from a watercourse or an underground water reserve"
"1000022","Oil and gas extraction","237","Undertake activities that cause solvent emissions - eg using paint, thinners, cleaning fluids etc"
"1000022","Oil and gas extraction","35","Process, store or dispose of dangerous or harmful substances"
"1000022","Oil and gas extraction","1061","Process, store or dispose of dangerous or harmful substances"
"1000024","Electricity supply","241","Put an advertising board on the pavement or verge"
"1000024","Electricity supply","66","Generate, distribute or supply electricity"
"1000024","Electricity supply","1055","Carry out work, or place materials, apparatus or obstacles in the road or on a pavement"
"1000025","Gas supply","1001","Process personal information about any individuals including customers, employees etc"
"1000026","Water supply","1161","Remove objects or substances from the seabed"
"1000026","Water supply","240","Put tables or chairs on the pavement"
"1000026","Water supply","126","Impound water (by using a dam or a weir etc)"
"1000029","Residential building construction","1153","Remove material from a river bed"
"1000029","Residential building construction","228","Erect scaffolding or hoardings"
"1000029","Residential building construction","1064","Carry out construction or building work"
"1000030","Commercial building construction","1098","Fix a beam, cable, pipe or rail across a highway"
"1000030","Commercial building construction","1019","Operate as a building inspector"
"1000031","Civil engineering","1142","Work affecting a river or watercourse"
"1000031","Civil engineering","1106","Undertake works on the coast line"
"1000031","Civil engineering","257","Transport, store, process, recycle, export or dispose of waste material"
"1000031","Civil engineering","1049","Certify design or construction projects"
"1000033","Building site preparation","1167","Connect marina or mooring to an inland waterway"
"1000033","Building site preparation","1055","Carry out work, or place materials, apparatus or obstacles in the road or on a pavement"
"1000034","Brick laying","241","Put an advertising board on the pavement or verge"
"1000034","Brick laying","40","Discharge trade effluent"
"1000035","Roofing","1028","Posess or use equipment which may contain Polychlorinated Biphenyls (PCBs)"
"1000036","Electrical installation and repair","1064","Carry out construction or building work"
"1000037","Insulation installation","228","Erect scaffolding or hoardings"
"1000037","Insulation installation","1001","Process personal information about any individuals including customers, employees etc"
"1000038","Plumbing","1064","Carry out construction or building work"
"1000043","Floor covering","228","Erect scaffolding or hoardings"
"1000043","Floor covering","1001","Process personal information about any individuals including customers, employees etc"
"1000046","Other specialised construction activities","274","Place builders skips on a public road"
"1000046","Other specialised construction activities","228","Erect scaffolding or hoardings"
"1000046","Other specialised construction activities","195","Discharge rain water, cooling water or treated liquid effluent directly to controlled waters"
"1000047","Construction equipment hire with operator","1128","Inspect conventional tower cranes"
"1000047","Construction equipment hire with operator","70","Operate a goods vehicle"
"1000051","Urban planning services","1019","Operate as a building inspector"
"1000053","Construction consultancy","1148","Construct new roads or extend existing roads"
"1000053","Construction consultancy","1057","Construct, maintain or use cooling towers or evaporative condensers"
"1000053","Construction consultancy","1055","Carry out work, or place materials, apparatus or obstacles in the road or on a pavement"
"1000056","Animal food manufacturing","1149","Keep or release live fish"
"1000057","Grain and vegetable oil processing","1102","Irradiate food"
"1000058","Fruit and vegetable processing","1102","Irradiate food"
"1000059","Dairy product manufacturing","41","Pollute controlled waters with substances including waste sheep dip, pesticides, chemicals etc"
"1000059","Dairy product manufacturing","1062","Monitor, assess or report on energy consumption or levels of emissions and pollution"
"1000060","Meat product manufacturing","194","Operate a large industrial site"
"1000060","Meat product manufacturing","41","Pollute controlled waters with substances including waste sheep dip, pesticides, chemicals etc"
"1000060","Meat product manufacturing","40","Discharge trade effluent"
"1000061","Seafood processing","70","Operate a goods vehicle"
"1000061","Seafood processing","35","Process, store or dispose of dangerous or harmful substances"
"1000061","Seafood processing","1002","Use CCTV systems"
"1000064","Other food manufacturing","63","Prepare, store or sell foodstuffs"
"1000064","Other food manufacturing","41","Pollute controlled waters with substances including waste sheep dip, pesticides, chemicals etc"
"1000064","Other food manufacturing","35","Process, store or dispose of dangerous or harmful substances"
"1000065","Health food and supplements manufacturing","194","Operate a large industrial site"
"1000065","Health food and supplements manufacturing","70","Operate a goods vehicle"
"1000066","Alcoholic drink manufacturing","336","Deposit goods in an excise warehouse"
"1000066","Alcoholic drink manufacturing","273","Carry out processes causing emissions to air"
"1000066","Alcoholic drink manufacturing","70","Operate a goods vehicle"
"1000066","Alcoholic drink manufacturing","41","Pollute controlled waters with substances including waste sheep dip, pesticides, chemicals etc"
"1000070","Adult clothing and accessories manufacturing","1072","Use the Olympic Brand"
"1000070","Adult clothing and accessories manufacturing","394","Use a piece of artwork in a book, magazine, website, advertisement, or on a greeting card or textile"
"1000075","Textiles manufacturing","273","Carry out processes causing emissions to air"
"1000076","Furniture manufacturing","1062","Monitor, assess or report on energy consumption or levels of emissions and pollution"
"1000082","Printing support activities","1002","Use CCTV systems"
"1000084","Petrol manufacturing","40","Discharge trade effluent"
"1000085","Agrochemicals manufacturing","273","Carry out processes causing emissions to air"
"1000085","Agrochemicals manufacturing","35","Process, store or dispose of dangerous or harmful substances"
"1000087","Rubber products manufacturing","237","Undertake activities that cause solvent emissions - eg using paint, thinners, cleaning fluids etc"
"1000088","Plastic products manufacturing","1120","Manufacture or supply products for use in treatment or distribution of drinking water"
"1000088","Plastic products manufacturing","273","Carry out processes causing emissions to air"
"1000088","Plastic products manufacturing","237","Undertake activities that cause solvent emissions - eg using paint, thinners, cleaning fluids etc"
"1000088","Plastic products manufacturing","1045","Produce, store or dispose of ozone-depleting substances"
"1000090","Biopharmaceuticals manufacturing","1061","Process, store or dispose of dangerous or harmful substances"
"1000091","Beauty and toilet products manufacturing","195","Discharge rain water, cooling water or treated liquid effluent directly to controlled waters"
"1000092","Cleaning compound manufacturing","194","Operate a large industrial site"
"1000092","Cleaning compound manufacturing","40","Discharge trade effluent"
"1000092","Cleaning compound manufacturing","35","Process, store or dispose of dangerous or harmful substances"
"1000092","Cleaning compound manufacturing","1028","Posess or use equipment which may contain Polychlorinated Biphenyls (PCBs)"
"1000094","Clay and ceramic building materials manufacturing","1120","Manufacture or supply products for use in treatment or distribution of drinking water"
"1000094","Clay and ceramic building materials manufacturing","1061","Process, store or dispose of dangerous or harmful substances"
"1000095","Glass building products manufacturing","1057","Construct, maintain or use cooling towers or evaporative condensers"
"1000097","Stone and slate products manufacturing","237","Undertake activities that cause solvent emissions - eg using paint, thinners, cleaning fluids etc"
"1000097","Stone and slate products manufacturing","41","Pollute controlled waters with substances including waste sheep dip, pesticides, chemicals etc"
"1000097","Stone and slate products manufacturing","1002","Use CCTV systems"
"1000098","Builders joinery manufacturing","194","Operate a large industrial site"
"1000098","Builders joinery manufacturing","70","Operate a goods vehicle"
"1000098","Builders joinery manufacturing","1061","Process, store or dispose of dangerous or harmful substances"
"1000100","Metal manufacturing","194","Operate a large industrial site"
"1000100","Metal manufacturing","40","Discharge trade effluent"
"1000101","Metal treatment and coating","273","Carry out processes causing emissions to air"
"1000101","Metal treatment and coating","35","Process, store or dispose of dangerous or harmful substances"
"1000101","Metal treatment and coating","1061","Process, store or dispose of dangerous or harmful substances"
"1000101","Metal treatment and coating","1028","Posess or use equipment which may contain Polychlorinated Biphenyls (PCBs)"
"1000102","Metal product manufacturing","1002","Use CCTV systems"
"1000104","Engine and turbine manufacturing","1028","Posess or use equipment which may contain Polychlorinated Biphenyls (PCBs)"
"1000105","Agricultural machinery manufacturing","1045","Produce, store or dispose of ozone-depleting substances"
"1000105","Agricultural machinery manufacturing","1028","Posess or use equipment which may contain Polychlorinated Biphenyls (PCBs)"
"1000106","Power tool manufacturing","1107","Holding PCB contaminated equipment"
"1000106","Power tool manufacturing","194","Operate a large industrial site"
"1000107","Construction machinery manufacturing","1045","Produce, store or dispose of ozone-depleting substances"
"1000109","Industrial machinery manufacturing","1057","Construct, maintain or use cooling towers or evaporative condensers"
"1000110","Other machinery manufacturing","40","Discharge trade effluent"
"1000112","Motor vehicle manufacturing","195","Discharge rain water, cooling water or treated liquid effluent directly to controlled waters"
"1000112","Motor vehicle manufacturing","194","Operate a large industrial site"
"1000112","Motor vehicle manufacturing","1062","Monitor, assess or report on energy consumption or levels of emissions and pollution"
"1000113","Motor vehicle parts manufacturing","40","Discharge trade effluent"
"1000115","Boat building and repair","1142","Work affecting a river or watercourse"
"1000115","Boat building and repair","1028","Posess or use equipment which may contain Polychlorinated Biphenyls (PCBs)"
"1000115","Boat building and repair","1002","Use CCTV systems"
"1000117","Electric lighting equipment manufacturing","1028","Posess or use equipment which may contain Polychlorinated Biphenyls (PCBs)"
"1000118","Electrical appliance manufacturing","194","Operate a large industrial site"
"1000118","Electrical appliance manufacturing","1061","Process, store or dispose of dangerous or harmful substances"
"1000119","Electric motor manufacturing","194","Operate a large industrial site"
"1000119","Electric motor manufacturing","70","Operate a goods vehicle"
"1000120","Electric wire and cable manufacturing","195","Discharge rain water, cooling water or treated liquid effluent directly to controlled waters"
"1000121","Battery manufacturing","1115","Export radioactive sources"
"1000123","Computer and computer peripherals manufacturing","273","Carry out processes causing emissions to air"
"1000123","Computer and computer peripherals manufacturing","237","Undertake activities that cause solvent emissions - eg using paint, thinners, cleaning fluids etc"
"1000124","Electronic office equipment manufacturing","1045","Produce, store or dispose of ozone-depleting substances"
"1000125","Telecommunications equipment manufacturing","70","Operate a goods vehicle"
"1000125","Telecommunications equipment manufacturing","1028","Posess or use equipment which may contain Polychlorinated Biphenyls (PCBs)"
"1000127","Recording media manufacturing","195","Discharge rain water, cooling water or treated liquid effluent directly to controlled waters"
"1000127","Recording media manufacturing","194","Operate a large industrial site"
"1000127","Recording media manufacturing","1045","Produce, store or dispose of ozone-depleting substances"
"1000132","Bicycle and bicycle parts manufacturing","1072","Use the Olympic Brand"
"1000132","Bicycle and bicycle parts manufacturing","40","Discharge trade effluent"
"1000133","Sports equipment manufacturing","1062","Monitor, assess or report on energy consumption or levels of emissions and pollution"
"1000133","Sports equipment manufacturing","1002","Use CCTV systems"
"1000134","Toys and games manufacturing","70","Operate a goods vehicle"
"1000139","Agricultural materials wholesale","192","Sell non-medicinal poisons"
"1000140","Agricultural materials wholesale agents","123","Store and supply agrochemicals and other chemical products"
"1000142","Timber and timber products wholesale","70","Operate a goods vehicle"
"1000143","Timber and timber products wholesale agents","241","Put an advertising board on the pavement or verge"
"1000143","Timber and timber products wholesale agents","1001","Process personal information about any individuals including customers, employees etc"
"1000145","Metal and metal ores wholesale","1115","Export radioactive sources"
"1000145","Metal and metal ores wholesale","1054","Operate a public weighbridge"
"1000149","Petroleum and fuel products wholesale agents","41","Pollute controlled waters with substances including waste sheep dip, pesticides, chemicals etc"
"1000155","Bakery products wholesale","63","Prepare, store or sell foodstuffs"
"1000156","Sugar and confectionery wholesale","280","Handle more than 50 tonnes of packaging in a year"
"1000157","Other food wholesale","1029","Operate an egg packing centre"
"1000158","Health food and supplements wholesale","1072","Use the Olympic Brand"
"1076864060","Zoos","259","Operate a zoo"
"1000165","Footwear wholesale","1002","Use CCTV systems"
"1000169","Electric lighting equipment wholesale","280","Handle more than 50 tonnes of packaging in a year"
"1000169","Electric lighting equipment wholesale","70","Operate a goods vehicle"
"1000170","Textiles wholesale","241","Put an advertising board on the pavement or verge"
"1000171","China, glassware and crockery wholesale","1000","Play background music in your premises"
"1000172","Garden equipment and supplies wholesale","1131","Deal in knives and swords"
"1000175","Hardware products wholesale","239","Open a large shop on Sundays"
"1000175","Hardware products wholesale","70","Operate a goods vehicle"
"1000176","Wallpaper and paint wholesale","1003","Offer credit to your customers"
"1000176","Wallpaper and paint wholesale","1002","Use CCTV systems"
"1000181","Audio-visual equipment wholesale","1003","Offer credit to your customers"
"1000182","Computer, software and peripherals wholesale","241","Put an advertising board on the pavement or verge"
"1000182","Computer, software and peripherals wholesale","1003","Offer credit to your customers"
"1000185","Recording media wholesale","1002","Use CCTV systems"
"1000188","Agricultural machinery wholesale","70","Operate a goods vehicle"
"1000189","Power tool wholesale","280","Handle more than 50 tonnes of packaging in a year"
"1000190","Construction machinery wholesale","70","Operate a goods vehicle"
"1000191","Guns and ammunition wholesale","198","Manufacture, sell, repair or test shotguns, firearms or ammunition"
"1000191","Guns and ammunition wholesale","70","Operate a goods vehicle"
"1000191","Guns and ammunition wholesale","48","Manufacture, transport or store explosives"
"1000199","Beauty and toilet products wholesale","239","Open a large shop on Sundays"
"1000201","Cleaning compound wholesale","1120","Manufacture or supply products for use in treatment or distribution of drinking water"
"1000201","Cleaning compound wholesale","1002","Use CCTV systems"
"1000202","Agrochemicals wholesale","1115","Export radioactive sources"
"1000202","Agrochemicals wholesale","280","Handle more than 50 tonnes of packaging in a year"
"1000202","Agrochemicals wholesale","1002","Use CCTV systems"
"1000203","Chemical products wholesale agents","70","Operate a goods vehicle"
"1000211","Watches and clocks wholesale","241","Put an advertising board on the pavement or verge"
"1000211","Watches and clocks wholesale","1002","Use CCTV systems"
"1000214","Sports equipment wholesale","1003","Offer credit to your customers"
"1000216","Toys, games and collectables wholesale","1002","Use CCTV systems"
"1000220","General food retail","1157","Sell cigarettes and other tobacco products"
"1000220","General food retail","241","Put an advertising board on the pavement or verge"
"1000220","General food retail","239","Open a large shop on Sundays"
"1000221","Fruit and vegetable retail","1091","Distribute free printed material"
"1000221","Fruit and vegetable retail","162","Run a market stall"
"1000222","Meat, poultry and game retail","63","Prepare, store or sell foodstuffs"
"1000222","Meat, poultry and game retail","1002","Use CCTV systems"
"1000223","Seafood retail","1002","Use CCTV systems"
"1000225","Chocolate and confectionery retail","1091","Distribute free printed material"
"1000233","Childrens clothing and baby goods retail","1091","Distribute free printed material"
"1000233","Childrens clothing and baby goods retail","70","Operate a goods vehicle"
"1000234","Footwear retail","239","Open a large shop on Sundays"
"1000235","Leather products retail","337","Employ young people aged 13 - 16"
"1000235","Leather products retail","239","Open a large shop on Sundays"
"1000236","Clothing hire","1002","Use CCTV systems"
"1000238","Furniture retail","1091","Distribute free printed material"
"1000238","Furniture retail","239","Open a large shop on Sundays"
"1000238","Furniture retail","1004","Park vehicles in a controlled parking zone (if your premises is located in a controlled parking zone)"
"1000239","Furniture repair and restoration","1001","Process personal information about any individuals including customers, employees etc"
"1000240","Home furnishings retail","1091","Distribute free printed material"
"1000241","Electric lighting equipment retail","1091","Distribute free printed material"
"1000241","Electric lighting equipment retail","1004","Park vehicles in a controlled parking zone (if your premises is located in a controlled parking zone)"
"1000242","Picture framing services","232","Deal in secondhand goods"
"1000242","Picture framing services","1004","Park vehicles in a controlled parking zone (if your premises is located in a controlled parking zone)"
"1000243","Hardware products retail","352","Produce or distribute methylated spirit"
"1000243","Hardware products retail","241","Put an advertising board on the pavement or verge"
"1000243","Hardware products retail","70","Operate a goods vehicle"
"1000427","Nurse services","1000","Play background music in your premises"
"1000432","Optician services","1003","Offer credit to your customers"
"1000433","Optometry","241","Put an advertising board on the pavement or verge"
"1000433","Optometry","167","Offer treatments involving lasers or intense pulsed light systems"
"1000433","Optometry","1001","Process personal information about any individuals including customers, employees etc"
"1000436","Midwifery","1001","Process personal information about any individuals including customers, employees etc"
"1000437","Veterinary services","1003","Offer credit to your customers"
"1000437","Veterinary services","1001","Process personal information about any individuals including customers, employees etc"
"1000438","Occupational therapy","363","Practise as an occupational therapist "
"1000440","Hospitals","355","Practise as an art therapist "
"1000442","Acupuncture","1001","Process personal information about any individuals including customers, employees etc"
"1000443","Reflexology","241","Put an advertising board on the pavement or verge"
"1000444","Homeopathy","241","Put an advertising board on the pavement or verge"
"1000444","Homeopathy","1002","Use CCTV systems"
"1000448","Osteopathy","1002","Use CCTV systems"
"1000450","Nursing homes","83","Collect or sell things door-to-door or in a public place for charity"
"1000452","Retirement homes","295","Offer care services"
"1000453","Childrens day care centres","267","Make copies of newspaper cuttings for educational purposes"
"1000454","Nanny services","1002","Use CCTV systems"
"1000455","Social work","1080","Offer fostering or adoption services"
"1000455","Social work","296","Run a residential family centre"
"1000455","Social work","1002","Use CCTV systems"
"1000458","Hairdressing","241","Put an advertising board on the pavement or verge"
"1000458","Hairdressing","234","Offer ear, nose or body piercing"
"1000458","Hairdressing","79","Operate as a hairdresser"
"1000460","Massage","1000","Play background music in your premises"
"1000462","Tattoo parlours","1002","Use CCTV systems"
"1000463","Tanning salons","1001","Process personal information about any individuals including customers, employees etc"
"1000471","Party planning","209","Use a venue for public entertainment - including dancing, live music, karaoke etc"
"1000471","Party planning","1058","Hold an ad hoc event"
"1000471","Party planning","1000","Play background music in your premises"
"1000475","Primary education","1083","Work as a teacher"
"1000475","Primary education","188","Make copies of extracts from books, magazines or journals for business use"
"1000476","Secondary education","1083","Work as a teacher"
"1000476","Secondary education","403","Produce or photocopy hymns or worship song booksor song sheets"
"1000476","Secondary education","1069","Provide formal educational courses"
"1000476","Secondary education","1058","Hold an ad hoc event"
"1000476","Secondary education","1018","Offer special educational needs (SEN) teaching or support services"
"1000478","Business and professional training","267","Make copies of newspaper cuttings for educational purposes"
"1000478","Business and professional training","266","Make copies of newspaper cuttings for business use"
"1000478","Business and professional training","31","Exhibit films, videos or DVDs"
"1000478","Business and professional training","1002","Use CCTV systems"
"1000479","Technical and vocational training","382","Offer adventure activities to young people under the age of 18"
"1000479","Technical and vocational training","241","Put an advertising board on the pavement or verge"
"1000479","Technical and vocational training","214","Keep or use radioactive material - eg for experiments, tests or measurements"
"1000481","Fine art instruction","403","Produce or photocopy hymns or worship song booksor song sheets"
"1000481","Fine art instruction","391","Make video or audio recordings of carol services etc"
"1000481","Fine art instruction","1069","Provide formal educational courses"
"1000482","Driving instruction","241","Put an advertising board on the pavement or verge"
"1000483","Athletic instruction","401","Holding indoor or outdoor events where an entrance fee is payable"
"1000483","Athletic instruction","223","Run a horse riding establishment"
"1000484","Personal development instruction","253","Use or provide for use a television or other device to receive or record broadcast programmes"
"1000488","Arts and entertainment agencies","1174","Organise live music events, eg concerts or festivals"
"1000489","Arts and entertainment facility operation","1157","Sell cigarettes and other tobacco products"
"1000489","Arts and entertainment facility operation","1058","Hold an ad hoc event"
"1000489","Arts and entertainment facility operation","1050","Train, exhibit or use performing animals"
"1000490","Ticket agencies","1091","Distribute free printed material"
"1000493","Museums and gallery operation","1058","Hold an ad hoc event"
"1000493","Museums and gallery operation","1002","Use CCTV systems"
"1000493","Museums and gallery operation","1000","Play background music in your premises"
"1000494","Heritage site operation","401","Holding indoor or outdoor events where an entrance fee is payable"
"1000494","Heritage site operation","1058","Hold an ad hoc event"
"1000497","Sports and athletic agencies","1068","Operate a sports facility"
"1000498","Sports facility operation","401","Holding indoor or outdoor events where an entrance fee is payable"
"1000498","Sports facility operation","242","Use a premises for a theatrical performance"
"1000498","Sports facility operation","159","Deposit articles or substances in the sea or tidal waters"
"1000498","Sports facility operation","1068","Operate a sports facility"
"1000498","Sports facility operation","1002","Use CCTV systems"
"1000498","Sports facility operation","1000","Play background music in your premises"
"1000499","Fitness centre operation","209","Use a venue for public entertainment - including dancing, live music, karaoke etc"
"1000499","Fitness centre operation","8","Supply or operate gaming machines"
"1000499","Fitness centre operation","1002","Use CCTV systems"
"1000500","Outdoor adventure centre operation","1166","Carry out diving or salvage operations at a protected wreck site"
"1000500","Outdoor adventure centre operation","209","Use a venue for public entertainment - including dancing, live music, karaoke etc"
"1000500","Outdoor adventure centre operation","1058","Hold an ad hoc event"
"1000500","Outdoor adventure centre operation","1001","Process personal information about any individuals including customers, employees etc"
"1000501","Racehorse owning and training","122","Train racehorses"
"1000505","Bingo hall operation","45","Employ door supervisors"
"1000430","Chiropody","1001","Process personal information about any individuals including customers, employees etc"
"1079055119","Graphic design services","266","Make copies of newspaper cuttings for business use"
"1079055372","Interior design services","1000","Play background music in your premises"
"1079055376","Photographic services","1081","Store, process, use or dispose of celluloid film"
"1000040","Plastering","274","Place builders skips on a public road"
"1000040","Plastering","241","Put an advertising board on the pavement or verge"
"1000049","Architectural services","1109","Operate as a certifier of design or construction"
"1000067","Soft drink manufacturing","1102","Irradiate food"
"1000067","Soft drink manufacturing","40","Discharge trade effluent"
"1000067","Soft drink manufacturing","1002","Use CCTV systems"
"1000068","Tobacco products manufacturing","40","Discharge trade effluent"
"1000078","Paper and paper stationery manufacturing","237","Undertake activities that cause solvent emissions - eg using paint, thinners, cleaning fluids etc"
"1000078","Paper and paper stationery manufacturing","40","Discharge trade effluent"
"1000086","Explosives manufacturing","195","Discharge rain water, cooling water or treated liquid effluent directly to controlled waters"
"1087768601","Members clubs","1173","Operate a members-only club"
"1000146","Metal and metal ores wholesale agents","273","Carry out processes causing emissions to air"
